Date, Sessions, Duration, Crops
2012-06-24,2,92,Cotton 
2011-10-02,161,49,Chilli Onion Cumin Other Brinjal Cotton 
2011-08-19,2,53,Cotton 
2011-09-10,297,36,Chilli Other Castor Brinjal Cotton 
2012-04-20,5,61,Other Castor Cotton 
2012-02-23,1,20,Cotton 
2012-01-04,12,36,Millet Other Wheat Cumin Cotton 
2012-07-09,22,39,Other Wheat Cotton 
2011-12-03,30,63,Chilli Other Wheat Cumin Cotton 
2012-07-16,23,57,Other Castor Cotton 
2011-11-17,171,41,Other Wheat Cumin Onion Cotton 
2012-06-15,3,21,Brinjal Cotton 
2011-10-19,264,49,Other Brinjal Cumin Cotton 
2012-03-17,31,19,Other Millet Castor Onion Cotton 
2011-09-05,136,33,Other Castor Brinjal Cumin Cotton 
2012-06-16,7,47,Groundnut Castor Cotton 
2012-08-19,34,28,Chilli Other Cumin Cotton 
2012-04-28,32,41,Groundnut Other Wheat Cumin Cotton 
2012-08-13,8,63,Chilli Other Castor Brinjal Cotton 
2012-08-05,15,34,Other Cotton 
2011-12-27,12,55,Wheat Other Castor Cumin 
2011-10-28,65,41,Gram Other Brinjal Cumin Cotton 
2012-05-13,4,104,Cotton 
2011-11-09,172,49,Chilli Other Cumin Onion Cotton 
2011-09-20,241,44,Chilli Castor Maize Cumin Other Brinjal Cotton 
2012-06-07,16,63,Castor Cotton 
2011-10-11,141,53,Other Cumin Cotton 
2011-08-24,339,22,Groundnut Chilli Wheat Other Brinjal Castor Cotton 
2011-09-13,490,46,Chilli Castor Cumin Groundnut Other Cotton 
2011-12-08,16,48,Other Wheat Cumin Cotton 
2012-07-25,9,21,Groundnut Other Cotton 
2011-11-24,22,32,Wheat Cumin 
2012-08-26,147,37,Chilli Castor Mustard Groundnut Brinjal Other Cotton 
2011-12-19,2,27,Brinjal Cotton 
2011-10-20,198,51,Groundnut Other Cumin Cotton 
2012-08-20,8,59,Other Cumin Cotton 
2011-09-28,234,41,Chilli Castor Onion Cumin Groundnut Brinjal Other Cotton 
2011-10-03,34,55,Cumin Brinjal Onion Cotton 
2012-08-06,2,65,Other Castor 
2012-01-18,5,35,Maize Other 
2012-02-22,19,24,Groundnut Other Cumin Cotton 
2012-07-10,11,61,Castor Cotton 
2012-08-02,20,14,Other Brinjal Cotton 
2012-07-17,3,72,Chilli Groundnut Other 
2012-05-02,18,43,Groundnut Castor Cumin Millet Other Cotton 
2011-11-16,76,56,Brinjal Other Cumin Cotton 
2012-06-14,7,88,Other Castor Cotton 
2011-10-12,206,54,Other Cumin Cotton 
2012-05-29,25,33,Groundnut Other Paddy Cotton 
2012-03-18,1,55,Millet 
2011-09-04,556,38,Chilli Castor Sorghum Groundnut Brinjal Other Cotton 
2012-06-23,27,55,Groundnut Millet Other Castor Cotton 
2012-03-09,2,16,Other Brinjal 
2012-08-31,30,54,Other Castor Mustard Cotton 
2012-01-13,32,42,Castor Mustard Onion Cumin Sesame Other Wheat Cotton 
2011-12-24,8,17,Chilli Other Brinjal 
2011-10-29,190,48,Groundnut Chilli Wheat Onion Cumin Other Garlic Cotton 
2012-05-10,22,51,Castor Cumin Millet Other Brinjal Cotton 
2011-11-08,59,52,Other Cumin Cotton 
2011-09-23,180,45,Other Wheat Cotton 
